start_ip,end_ip,join_key,city,region,country,latitude,longitude,postal_code,timezone
106.212.189.57,106.212.189.57,106.212.0.0,Delhi,Delhi,IN,28.6063,77.30449,110091,Asia/Kolkata
108.78.185.234,108.78.185.243,108.78.0.0,Florissant,Missouri,US,38.78922,-90.32261,63031,America/Chicago
1.247.85.0,1.247.85.255,1.247.0.0,Cheonan,Chungcheongnam-do,KR,36.8065,127.1522,31126,Asia/Seoul
109.117.54.184,109.117.54.187,109.117.0.0,Padova,Veneto,IT,45.40797,11.88586,35100,Europe/Rome
106.211.163.62,106.211.163.62,106.211.0.0,Bīkaner,Rajasthan,IN,28.01762,73.31495,334001,Asia/Kolkata
108.192.32.0,108.192.33.255,108.192.0.0,West Chicago,Illinois,US,41.88475,-88.20396,60185,America/Chicago
101.51.61.185,101.51.61.185,101.51.0.0,Bang Bon,Bangkok,TH,13.66185,100.39567,10150,Asia/Bangkok
101.61.159.124,101.61.159.127,101.61.0.0,Milan,Lombardy,IT,45.46427,9.18951,20121,Europe/Rome
104.246.48.0,104.246.55.127,104.246.0.0,Bayonne,New Jersey,US,40.66871,-74.11431,07002,America/New_York
102.106.234.105,102.106.234.107,102.106.0.0,Sousse,Sūsah,TN,35.82539,10.63699,,Africa/Tunis
109.112.104.168,109.112.104.231,109.112.0.0,Rome,Lazio,IT,41.89193,12.51133,00118,Europe/Rome
109.10.119.182,109.10.119.227,109.10.0.0,Chambéry,Auvergne-Rhône-Alpes,FR,45.56628,5.92079,73000,Europe/Paris
1.254.147.40,1.254.147.63,1.254.0.0,Seoul,Seoul,KR,37.566,126.9784,03141,Asia/Seoul
1.52.122.16,1.52.122.35,1.52.0.0,Thái Nguyên,Thái Nguyên,VN,21.59422,105.84817,24150,Asia/Bangkok
105.204.221.74,105.204.221.75,105.204.0.0,Al Minyā,Minya,EG,28.09193,30.75813,,Africa/Cairo
104.160.206.184,104.160.206.185,104.160.0.0,Brant,Ontario,CA,43.1334,-80.34967,N3T,America/Toronto
109.140.156.100,109.140.156.103,109.140.0.0,Ans,Wallonia,BE,50.6623,5.52029,4430,Europe/Brussels
1.33.95.128,1.33.95.143,1.33.0.0,Fukushima,Fukushima,JP,37.7602,140.4599,960-8051,Asia/Tokyo
102.107.20.105,102.107.20.105,102.107.0.0,Tunis,Tūnis,TN,36.81897,10.16579,,Africa/Tunis
107.131.144.192,107.131.144.193,107.131.0.0,Seneca,Illinois,US,41.31114,-88.60979,61360,America/Chicago
101.167.5.144,101.167.5.151,101.167.0.0,Conway,Queensland,AU,-20.46219,148.72705,4800,Australia/Brisbane
108.171.66.0,108.171.66.255,108.171.0.0,Roberval,Quebec,CA,48.5168,-72.23244,G8H,America/Toronto
105.72.38.76,105.72.38.82,105.72.0.0,Rabat,Rabat-Salé-Kénitra,MA,34.01325,-6.83255,12152,Africa/Casablanca
104.235.65.173,104.235.65.185,104.235.0.0,Freeport,Illinois,US,42.29669,-89.62123,61032,America/Chicago
108.198.7.203,108.198.7.205,108.198.0.0,Edmond,Oklahoma,US,35.6215,-97.4733,73012,America/Chicago
101.109.77.0,101.109.77.95,101.109.0.0,Udon Thani,Udon Thani,TH,17.41567,102.78589,41000,Asia/Bangkok
103.152.212.40,103.152.212.51,103.152.0.0,Mymensingh,Mymensingh Division,BD,24.75636,90.40646,2210,Asia/Dhaka
105.72.214.130,105.72.214.130,105.72.0.0,Casablanca,Casablanca-Settat,MA,33.58831,-7.61138,29640,Africa/Casablanca
1.100.49.88,1.100.49.95,1.100.0.0,Seoul,Seoul,KR,37.566,126.9784,03141,Asia/Seoul
103.111.228.0,103.111.231.255,103.111.0.0,Brisbane,Queensland,AU,-27.46794,153.02809,4000,Australia/Brisbane
104.179.202.184,104.179.202.185,104.179.0.0,Daytona Beach,Florida,US,29.21081,-81.02283,32115,America/New_York
105.225.160.109,105.225.160.111,105.225.0.0,Pretoria,Gauteng,ZA,-25.74486,28.18783,0083,Africa/Johannesburg
104.158.130.162,104.158.130.162,104.158.0.0,Brampton,Ontario,CA,43.6501,-79.9163,L7G,America/Toronto
101.174.155.6,101.174.155.7,101.174.0.0,Port Augusta,South Australia,AU,-32.49597,137.77281,5700,Australia/Adelaide
102.66.136.40,102.66.136.47,102.66.0.0,Kokstad,KwaZulu-Natal,ZA,-30.55,29.4167,4710,Africa/Johannesburg
108.236.112.0,108.236.112.31,108.236.0.0,Cupertino,California,US,37.323,-122.03218,95014,America/Los_Angeles
107.165.208.0,107.165.212.255,107.165.0.0,San Jose,California,US,37.33939,-121.89496,95103,America/Los_Angeles
101.103.130.216,101.103.130.219,101.103.0.0,Palmerston,Northern Territory,AU,-12.48602,130.9833,0830,Australia/Darwin
107.200.220.0,107.200.223.255,107.200.0.0,Riverside,California,US,33.9208,-117.4589,92503,America/Los_Angeles
105.184.44.184,105.184.44.186,105.184.0.0,Secunda,Mpumalanga,ZA,-26.55,29.16667,2300,Africa/Johannesburg
101.176.130.128,101.176.130.135,101.176.0.0,Whitebridge,New South Wales,AU,-32.97436,151.71614,2290,Australia/Sydney
102.107.110.175,102.107.110.175,102.107.0.0,Sfax,Şafāqis,TN,34.74056,10.76028,,Africa/Tunis
108.176.127.88,108.176.127.91,108.176.0.0,West Seneca,New York,US,42.85006,-78.79975,14220,America/New_York
101.109.128.93,101.109.128.94,101.109.0.0,Bang Lamung,Chon Buri,TH,13.04704,100.92891,20150,Asia/Bangkok
108.161.147.191,108.161.147.191,108.161.0.0,San Diego,California,US,32.71571,-117.16472,92101,America/Los_Angeles
102.169.161.217,102.169.161.217,102.169.0.0,Sfax,Şafāqis,TN,34.74056,10.76028,,Africa/Tunis
108.237.226.136,108.237.226.137,108.237.0.0,Center,Texas,US,31.79545,-94.17909,75935,America/Chicago
106.129.224.221,106.129.224.221,106.129.0.0,Hiroshima,Hiroshima,JP,34.408,132.4455,733-0013,Asia/Tokyo
106.204.106.16,106.204.106.255,106.204.0.0,Bilāspur,Haryana,IN,30.3045,77.30424,141421,Asia/Kolkata
109.149.31.3,109.149.31.3,109.149.0.0,Gobowen,England,GB,52.89615,-3.03686,SY10,Europe/London
102.107.118.212,102.107.118.212,102.107.0.0,Tunis,Tūnis,TN,36.81897,10.16579,,Africa/Tunis
106.154.103.69,106.154.103.69,106.154.0.0,Kōfu,Yamanashi,JP,35.6528,138.6294,400-0811,Asia/Tokyo
107.130.128.8,107.130.128.31,107.130.0.0,Ardmore,Oklahoma,US,34.1566,-97.1792,73401,America/Chicago
103.11.16.0,103.11.19.255,103.11.0.0,Guangzhou,Guangdong,CN,23.11667,113.25,,Asia/Shanghai
102.67.69.0,102.67.69.255,102.67.0.0,Benoni,Gauteng,ZA,-26.18848,28.32078,1501,Africa/Johannesburg
102.173.183.98,102.173.183.99,102.173.0.0,Sousse,Sūsah,TN,35.82539,10.63699,,Africa/Tunis
106.66.121.66,106.66.121.67,106.66.0.0,Delhi,Delhi,IN,28.65195,77.23149,110001,Asia/Kolkata
108.53.101.0,108.53.101.255,108.53.0.0,Fort Lee,New Jersey,US,40.85093,-73.97014,07024,America/New_York
1.228.189.200,1.228.189.203,1.228.0.0,Seoul,Seoul,KR,37.566,126.9784,03141,Asia/Seoul
109.145.220.0,109.145.220.19,109.145.0.0,Southend-on-Sea,England,GB,51.5378,0.7143,SS99,Europe/London
107.165.233.0,107.165.233.255,107.165.0.0,New York City,New York,US,40.71427,-74.00597,10004,America/New_York
1.10.234.46,1.10.234.47,1.10.0.0,Thap Sakae,Prachuap Khiri Khan,TH,11.49964,99.6217,77130,Asia/Bangkok
109.114.42.48,109.114.42.54,109.114.0.0,Bari,Apulia,IT,41.12066,16.86982,70100,Europe/Rome
102.109.224.53,102.109.224.53,102.109.0.0,Tunis,Tūnis,TN,36.81897,10.16579,,Africa/Tunis
109.148.252.150,109.148.252.151,109.148.0.0,London,England,GB,51.4973,-0.1553,SW1X,Europe/London
104.94.18.137,104.94.18.143,104.94.0.0,Delhi,Delhi,IN,28.65195,77.23149,110001,Asia/Kolkata
1.20.24.216,1.20.24.223,1.20.0.0,Thung Song,Nakhon Si Thammarat,TH,8.16453,99.68039,80110,Asia/Bangkok
1.200.132.200,1.200.132.207,1.200.0.0,Kaohsiung,Takao,TW,22.61626,120.31333,,Asia/Taipei
105.188.36.128,105.188.37.167,105.188.0.0,Casablanca,Casablanca-Settat,MA,33.58831,-7.61138,29640,Africa/Casablanca
